SYMBOL,NAME,EXCHANGE
500439:VHL,VARDHMAN HOLDINGS LTD.,BSE
500440:HINDALCO,HINDALCO INDUSTRIES LTD.,BSE
500444:WSTCSTPAPR,WEST COAST PAPER MILLS LTD.,BSE
500449:HOCL,HINDUSTAN ORGANIC CHEMICALS LTD.,BSE
500450:MPILCORPL,MPIL CORPORATION LTD.,BSE
500456:PASUPTAC,PASUPATI ACRYLON LTD.,BSE
500458:KORE,Kore Foods Ltd,BSE
500459:PGHH,PROCTER &amp; GAMBLE HYGIENE &amp; HEALTH CARE LTD.,BSE
500460:MUKANDLTD,MUKAND LTD.,BSE
500463:AGCNET,AGC Networks Limited,BSE
500464:UCALFUEL,UCAL FUEL SYSTEMS LTD.,BSE
500467:HARRMALAYA,HARRISONS MALAYALAM LTD.,BSE
500469:FEDERALBNK,FEDERAL BANK LTD.,BSE
500470:TATASTEEL,TATA STEEL LTD.,BSE
500472:SKFINDIA,SKF INDIA LTD.,BSE
500477:ASHOKLEY,ASHOK LEYLAND LTD.,BSE
500480:CUMMINSIND,CUMMINS INDIA LTD.,BSE
500483:TATACOMM,TATA COMMUNICATIONS LTD.,BSE
500488:ABBOTINDIA,ABBOTT INDIA LTD.,BSE
500490:BAJAJHLDNG,BAJAJ HOLDINGS &amp; INVESTMENT LTD.,BSE
500493:BHARATFORG,BHARAT FORGE LTD.,BSE
500495:ESCORTS,ESCORTS LTD.,BSE
500500:HINDMOTORS,HINDUSTAN MOTORS LTD.,BSE
500510:LT,LARSEN &amp; TOUBRO LTD.,BSE
500520:M&amp;M,MAHINDRA &amp; MAHINDRA LTD.,BSE
500530:BOSCHLTD,BOSCH LTD.,BSE
500540:PREMIER,PREMIER LTD.,BSE
500547:BPCL,BHARAT PETROLEUM CORPORATION LTD.,BSE
500550:SIEMENS,SIEMENS LTD.,BSE
500570:TATAMOTORS,TATA MOTORS LTD.,BSE
500575:VOLTAS,VOLTAS LTD.,BSE
500620:GESHIP,GREAT EASTERN SHIPPING CO.LTD.,BSE
500645:DEEPAKFERT,DEEPAK FERTILISERS &amp; PETROCHEMICALS CORPORATION LTD.,BSE
500650:EXCELINDUS,EXCEL INDUSTRIES LTD.,BSE
500655:GARWARPOLY,GARWARE POLYESTER LTD.,BSE
500660:GLAXO,GLAXOSMITHKLINE PHARMACEUTICALS LTD.,BSE
500670:GNFC,GUJARAT NARMADA VALLEY FERTILIZERS &amp; CHEMICALS LTD.,BSE
500672:NOVARTIND,NOVARTIS INDIA LTD.,BSE
500674:SANOFI,Sanofi India Ltd,BSE
500676:GSKCONS,GLAXOSMITHKLINE CONSUMER HEALTHCARE LTD.,BSE
500680:PFIZER,PFIZER LTD.,BSE
500690:GSFC,GUJARAT STATE FERTILIZERS &amp; CHEMICALS LTD.,BSE
500696:HINDUNILVR,HINDUSTAN UNILEVER LTD.,BSE
500710:AKZOINDIA,Akzo Nobel India Limited,BSE
500730:NOCIL,NOCIL LTD.,BSE
500770:TATACHEM,TATA CHEMICALS LTD.,BSE
500777:TNPETRO,TAMILNADU PETROPRODUCTS LTD.,BSE
500780:ZUARIGLOB,ZUARI GLOBAL LTD.,BSE
500790:NESTLEIND,NESTLE INDIA LTD.,BSE
500800:TATAGLOBAL,Tata Global Beverages Limited,BSE
